Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.24245","Klebsiella pneumoniae strain 104","meropenem","Resistant","4",">=","4","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,
573,"573.12796","Klebsiella pneumoniae strain MLST-15","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.29873","Klebsiella pneumoniae strain Kpngiani7132563","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.13367","Klebsiella pneumoniae KPN1426ec","meropenem","Resistant","8",,"8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.24430","Klebsiella pneumoniae strain MUGSI_68","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.13451","Klebsiella pneumoniae KPN1518ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.33398","Klebsiella pneumoniae strain PMK13a","meropenem","Resistant",,,,,"Broth dilution",,,"BD","EUCAST",,,,,"Laboratory Method",,"25267672"
573,"573.13867","Klebsiella pneumoniae KPN2041ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14517","Klebsiella pneumoniae KPN950ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67272","Klebsiella pneumoniae ERR7221267","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.24445","Klebsiella pneumoniae strain MUGSI_86","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.24332","Klebsiella pneumoniae strain MUGSI_114","meropenem","Resistant","4",">=","4","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.67215","Klebsiella pneumoniae ERR7221198","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.14315","Klebsiella pneumoniae KPN684ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
574,"574.26","Klebsiella pneumoniae subsp. ozaenae strain 6","meropenem","Resistant","4","=","4","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
1438714,"1438714.3","Klebsiella pneumoniae CHS 08","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
573,"573.29869","Klebsiella pneumoniae strain Kpngiani7132565","meropenem","Resistant","64",,"64","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.12880","Klebsiella pneumoniae 3365","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.67678","Klebsiella pneumoniae ERR1811837","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13855","Klebsiella pneumoniae KPN2027ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.9724","Klebsiella pneumoniae strain AR_0098","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.14540","Klebsiella pneumoniae KPN982ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.66127","Klebsiella pneumoniae ERR1829913","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.24403","Klebsiella pneumoniae strain MUGSI_33","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.13355","Klebsiella pneumoniae KPN1411ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
